date,year,venue,venue_eng,event,event_eng,country,genre,genre_eng,artform,artform_eng,performers,performers_eng,conductor,conductor_eng,crew,crew_eng
5/16/1968,1968,Suomen Rakennustaiteen museo,Finnish Museum of Architecture,"Arkistoja, näyttelyitä, informaatiota","Archives, exhibitions, information",FIN,kuvataide,visual arts,,,,,,,,
5/16/1968,1968,Helsingin kaupunginteatteri,Helsinki City Theatre,Eeva Joenpelto: Liian suuria asioita,Eeva Joenpelto: Too big things,FIN,teatteri,theater,,,"näyttelijät: Rauni Ikäheimo, Eira Karén, Tiina Rinne, Elsa Turakainen, Sasu Haapanen, Veikko Honkanen, Hannes Häyrinen, Rauno Ketonen, Leo Lähteenmäki, Esko Pesonen","actors: Rauni Ikäheimo, Eira Karén, Tiina Rinne, Elsa Turakainen, Sasu Haapanen, Veikko Honkanen, Hannes Häyrinen, Rauno Ketonen, Leo Lähteenmäki, Esko Pesonen",,,"Ilkka Kuusisto, musiikki ","Ilkka Kuusisto, music "
5/16/1968,1968,Kansallismuseo,National Museum,Erikoisnäyttely,Special exhibition,,kuvataide,visual arts,,,,,,,,
5/16/1968,1968,Suomen kansallisteatteri,Finnish National Theater,"Félicien Marceau: Un jour, j'ai recontré la vérité","Félicien Marceau: One day, I encountered the truth",FIN,teatteri,theater,,,"näyttelijät: Tea Ista, Maija Karhi, Marja Korhonen, Tarmo Manni, Holger Salin, Esko Salminen","actors: Tea Ista, Maija Karhi, Marja Korhonen, Tarmo Manni, Holger Salin, Esko Salminen",,,"Pentti Siimes, ohjaus 
Pekka Heiskanen, lavastus ","Pentti Siimes, direction 
Pekka Heiskanen, staging "
5/16/1968,1968,Svenska Teatern,Swedish Theatre,Nationaltheatret Oslo | Henrik Ibsen: Merenneito,The National Theater Oslo | Henrik Ibsen: Merenneito,NOR,teatteri,theater,,,"Henny Moan, Wenche Medboe, Tone Schwarzott, Gerhard Bjelland, Joachim Calmeyer, Gunnar Olram, Jorn Ording, Per Sunderland","Henny Moan, Wenche Medboe, Tone Schwarzott, Gerhard Bjelland, Joachim Calmeyer, Gunnar Olram, Jorn Ording, Per Sunderland",,,"Per Bronken, ohjaus 
Guy Krohg, lavastus ","Per Bronken, direction 
Guy Krohg, set design "
5/16/1968,1968,Kulttuuritalo,Culture House,Radion sinfoniaorkesteri,Radio Symphony Orchestra,FIN,musiikki,music,klassinen,classic,viulu Igor Oistrakh,violin Igor Oistrakh,Paavo Berglund,Paavo Berglund,,
5/16/1968,1968,Amos Andersonin taidemuseo,Amos Anderson Art Museum,Sigrid Schauman - maalauksia,Sigrid Schauman - paintings,FIN,kuvataide,visual arts,,,,,,,,
5/16/1968,1968,Suomen kansallisteatteri,Finnish National Theater,Sofokles: Antigone,Sophocles: Antigone,FIN,teatteri,theater,,,"näyttelijät: Elli Castrén, Pia Hattara, Eeva-Kaarina Volanen, Kauko Helovirta, Ekke Hämäläinen, Matti Ranin, Joel Rinne, Esa Saario, Vilho Siivola","actors: Elli Castrén, Pia Hattara, Eeva-Kaarina Volanen, Kauko Helovirta, Ekke Hämäläinen, Matti Ranin, Joel Rinne, Esa Saario, Vilho Siivola",,,"Arvi Kivimaa, ohjaus 
Josef Svoboda, lavastus ","Arvi Kivimaa, direction 
Josef Svoboda, set design "
5/16/1968,1968,Suomen kansallisooppera,Finnish National Opera,Tauno Pylkkänen: Tuntematon sotilas,Tauno Pylkkänen: Unknown soldier,FIN,musiikki,music,ooppera,opera,,,"Jussi Jalas, johtaja
George Buckbee, kuoronjohto ","Jussi Jalas, director
George Buckbee, choir director ","Edvin Laine, ohjaus 
Ensio Suominen, lavastus ","Edvin Laine, direction 
Ensio Suominen, staging "
5/16/1968,1968,Ateneumin taidemuseo,Ateneum Art Museum,Vanhaa kotimaista taidetta,Old domestic art,FIN,kuvataide,visual arts,,,,,,,,
