date, year, venuefi, venueeng, event, country, artformfi, arftormeng, genrefi, genreeng, crewfi, creweng, , , 
15/8/2024,2024,Huvila,Huvila,Valtteri Laurell w. Ricky-Tick Big Band feat. Emilia Sisco: “Helsinki Noir Suite – Searching for Tapio”,"FIN, FIN-ZMB",musiikki,#REF!,jazz,jazz,"Valtteri Laurell, Ricky-Tick Big Band, Emilia Sisco","Valtteri Laurell, Ricky-Tick Big Band, Emilia Sisco",,,#VALUE!
16/8/2024,2024,Huvila,Huvila,"An acoustic evening with Carla Bruni, Vilma Jää","FRA, FIN",musiikki,music,"pop, etno-pop","pop, ethno-pop",,#VALUE!,,,#VALUE!
17/8/2024,2024,Huvila,Huvila,"Samuli Putro – Täysikasvuinen, 20-vuotisjuhlakonsertti",FIN,musiikki,music,pop,pop,,#VALUE!,,,#VALUE!
18/8/2024,2024,Huvila,Huvila,"IHMEPERHE – Sexmane, Isaac Sene, ADI, ROBIN; SENYA",FIN,musiikki,music,"rap, R&B","rap, R&B",,#VALUE!,,,#VALUE!
19/8/2024,2024,Huvila,Huvila,Kimmo Pohjonen – 60-vuotisjuhlakonsertti,"FIN, EE",musiikki,music,"klassinen, rock","classical, rock","Tõnu Kaljuste & Tallinnan kamariorkesteri, live-elektroniikka Juuso Hannukainen","Tõnu Kaljuste & Tallinn Chamber Orchestra, live electronics Juuso Hannukainen",,,#VALUE!
20/8/2024,2024,Huvila,Huvila,"Cat Power Sings Dylan: The 1966 Royal Albert Hall Concert, Construction","US, US-FIN",musiikki,music,"indie-rock, elektoroninen","indie rock, electronic","Cat Power, Nadya Peek, Marko Ahtisaari","Cat Power, Nadya Peek, Marko Ahtisaari",,,#VALUE!
21/8/2024,2024,Huvila,Huvila,"Business City, BÄMÄ",FIN,musiikki,music,rap,rap,,#VALUE!,,,#VALUE!
22/8/2024,2024,Huvila,Huvila,"Markus Krunegård, Mikko Joensuu","SVE-FIN, FIN",musiikki,music,"pop, indie","pop, indie",,#VALUE!,,,#VALUE!
23/8/2024,2024,Huvila,Huvila,"Aku Raski, Giant Robot",FIN,musiikki,music,"hiphop, dub, funk, pop ja elektroninen","hip hop, dub, funk, pop and electronic",,#VALUE!,,,#VALUE!
24/8/2024,2024,Huvila,Huvila,Samuli Edelmann & Kymi Sinfonietta: Vaiheet,FIN,musiikki,music,pop,pop,,#VALUE!,,,#VALUE!
25/8/2024,2024,Huvila,Huvila,Hermanos Gutiérrez,EC-CH,musiikki,music,instrumentaali,instrumental,Alejandro ja Estevan Gutiérrez,Alejandro and Estevan Gutiérrez,,,#VALUE!
